"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.791155400E-1,-2.392822653E-1,1.311864972E0,9.908080101E0
5.812334710E-1,-1.429711580E-1,1.378265858E0,1.002173901E1
5.833412790E-1,-1.770688742E-1,1.306481123E0,9.989436150E0
5.854522000E-1,-1.968096644E-1,1.229910851E0,9.932606697E0
5.875555520E-1,-3.403790295E-1,1.359721422E0,9.798010826E0
5.896562610E-1,-4.354937077E-1,1.427318692E0,9.865009308E0
5.917748420E-1,-3.972085714E-1,1.393819213E0,9.903294563E0
5.938838210E-1,-4.977070987E-1,1.508674622E0,9.806983948E0
5.959938050E-1,-5.515456200E-1,1.585245013E0,9.448060036E0
5.981002610E-1,-4.522434771E-1,1.508076429E0,9.214161873E0
6.002047630E-1,-4.366901219E-1,1.445863128E0,9.544371605E0
6.023053600E-1,-2.542374134E-1,1.201795220E0,9.890133858E0
6.044226690E-1,-1.633101404E-1,1.234696507E0,9.846465111E0
6.065320240E-1,-3.421736360E-1,1.110867858E0,9.575477600E0
6.086433520E-1,-8.374879509E-2,9.182456732E-1,9.738788605E0
6.107466550E-1,2.213360928E-2,7.890332937E-1,1.006959629E1
6.128432940E-1,3.230310604E-2,1.195813060E0,9.764511108E0
6.149652820E-1,-2.991028316E-2,1.396810174E0,9.562317848E0
6.170732330E-1,-5.383851007E-3,1.459023595E0,9.576076508E0
6.191869930E-1,-9.571290761E-2,1.512263894E0,9.656833649E0
6.212947910E-1,-1.058823988E-1,1.497906923E0,9.614361763E0
6.233896100E-1,-1.298106313E-1,1.736590981E0,9.306285858E0
6.255067350E-1,-2.297109663E-1,1.966900229E0,9.223134995E0
6.276141370E-1,-3.116651475E-1,1.847857237E0,9.224330902E0
6.297252520E-1,-4.845465720E-2,1.506880045E0,9.604191780E0
6.318311580E-1,-7.956135273E-2,1.383051515E0,1.025563812E1
6.339391190E-1,-2.799602449E-1,1.613958836E0,1.018265629E1
6.360478020E-1,-3.284149170E-1,1.724028707E0,9.990633011E0
6.381560780E-1,-2.003988922E-1,1.618146300E0,9.771091461E0
6.402643040E-1,4.785645287E-3,1.487737536E0,9.642477036E0
6.423701500E-1,3.768695518E-2,1.435095429E0,9.595218658E0
6.444716210E-1,2.213360965E-1,1.482353687E0,9.971489906E0
6.465889410E-1,1.453639716E-1,1.511665702E0,1.006241703E1
6.486972370E-1,2.303091735E-1,1.372283816E0,1.001097202E1
6.508077210E-1,2.973082066E-1,1.386042476E0,9.948160172E0
6.529136580E-1,2.500499785E-1,1.501496196E0,9.918848038E0
6.550193600E-1,2.129612118E-1,1.630708575E0,1.011386299E1
6.571199260E-1,2.703889608E-1,1.635494232E0,1.003190899E1
6.592387410E-1,2.027917206E-1,1.798206210E0,9.734601021E0
6.613445970E-1,2.261217386E-1,1.850848317E0,9.528220177E0
6.634452140E-1,1.106680483E-1,1.841277003E0,9.394820213E0
6.655621970E-1,1.148554832E-1,1.802991867E0,9.294919968E0
6.676677370E-1,2.979064286E-1,1.816750646E0,9.494720459E0
6.697827580E-1,3.230310678E-1,1.826920033E0,9.867402077E0
6.718878810E-1,2.997010350E-1,2.085345030E0,9.698110580E0
6.739970220E-1,1.782652885E-1,1.879562140E0,9.461220741E0
6.761021550E-1,2.793620527E-1,1.534995675E0,1.010488987E1
6.782033710E-1,2.225325108E-1,1.726421595E0,1.003609657E1
6.803209970E-1,2.542374134E-1,1.850250125E0,9.312865257E0
6.824290810E-1,1.280160099E-1,1.721037745E0,9.018548965E0
6.845398280E-1,2.632105052E-1,1.610967875E0,9.425328255E0
6.866457650E-1,2.488535494E-1,1.367498159E0,9.862616539E0
6.887542550E-1,1.818545163E-1,1.161715388E0,1.004626560E1
6.908622670E-1,1.339980662E-1,1.266999602E0,9.892526627E0
6.929705440E-1,8.075776696E-2,1.205384374E0,9.936196327E0
6.950796030E-1,-8.075776696E-2,1.263410330E0,1.016112137E1
6.971869540E-1,-1.890329868E-1,1.407577872E0,1.049491978E1
6.992930030E-1,-1.668993831E-1,1.617548108E0,9.771091461E0
7.013929990E-1,-2.111666054E-1,1.832902193E0,9.138189316E0
7.035120880E-1,-3.888336942E-2,1.693520188E0,9.301499367E0
7.056199470E-1,1.537388563E-1,1.472782373E0,9.871589661E0
7.077307360E-1,2.979064286E-1,1.405783296E0,1.008215809E1
7.098341200E-1,3.176472187E-1,1.233500123E0,1.045184898E1
7.119330990E-1,3.266202807E-1,1.396211982E0,1.011087227E1
7.140428910E-1,1.286142170E-1,1.611566067E0,9.449854851E0
7.161611150E-1,1.130608693E-1,1.735394597E0,8.937192917E0
7.182696670E-1,-6.340979785E-2,1.798804402E0,9.018548965E0
7.203722780E-1,-3.068794906E-1,2.139183521E0,8.776873589E0
7.224858550E-1,-2.458625287E-1,1.861616015E0,8.798408508E0
7.245943330E-1,-1.639083475E-1,1.282552958E0,9.625727654E0
7.267046040E-1,-1.489532143E-1,8.470591903E-1,1.042851925E1
7.288116290E-1,-2.452643216E-2,6.460621357E-1,1.051585770E1
7.309187460E-1,1.842473447E-1,7.166503668E-1,1.004148006E1
7.330265250E-1,2.069791555E-1,8.979067206E-1,9.509077072E0
7.351340570E-1,2.033899277E-1,1.036690354E0,9.626923561E0
7.372439920E-1,2.231307179E-1,9.744769931E-1,9.895518303E0
7.393491660E-1,1.680957973E-1,7.411768436E-1,1.072463131E1
7.414498640E-1,8.315058798E-2,9.906286001E-1,1.070369434E1
7.435660550E-1,-5.682953820E-2,1.473978758E0,9.920642853E0
7.456674740E-1,-1.208375469E-1,1.722234130E0,9.172286987E0
7.477874900E-1,-1.728814393E-1,1.813759565E0,9.300901413E0
7.498931320E-1,-1.238285750E-1,1.818545222E0,9.506086349E0
7.520036260E-1,-5.623133108E-2,1.727617979E0,9.769894600E0
7.541070500E-1,-1.956132501E-1,1.761117458E0,9.631111145E0
7.562078290E-1,6.580262445E-3,1.454836130E0,1.021675491E1
7.583260340E-1,-2.949153781E-1,1.570888042E0,1.014975548E1
7.604344940E-1,-3.535395563E-1,1.632503271E0,9.757332802E0
7.625459850E-1,-3.601198196E-1,1.417149186E0,9.649655342E0
7.646489200E-1,-2.919243574E-1,1.350150228E0,9.955936432E0
7.667517030E-1,-1.950150430E-1,1.350150228E0,1.019940662E1
7.688671220E-1,-5.862415582E-2,1.238883972E0,9.736394882E0
7.709755510E-1,-1.842473447E-1,1.248455167E0,9.445069313E0
7.730856070E-1,1.076770201E-2,1.061216831E0,9.302696228E0
7.751920920E-1,7.238288224E-2,9.218349457E-1,9.265607834E0
7.773005830E-1,2.195414752E-1,7.633104324E-1,9.208778381E0
7.794079650E-1,3.302095234E-1,4.331009090E-1,9.641879082E0
7.815098730E-1,2.452643216E-1,2.231307179E-1,1.023230743E1
7.836249750E-1,5.623133108E-2,3.332005441E-1,9.500701904E0
7.857328850E-1,6.460621208E-2,4.719842672E-1,9.116654396E0
7.878407340E-1,-8.255238086E-2,6.448656917E-1,9.287740707E0
7.899392860E-1,-2.380858511E-1,5.072783828E-1,9.963713646E0
7.920565250E-1,-3.888336942E-2,2.775674164E-1,1.106919765E1
7.941649530E-1,8.973085321E-3,7.172485590E-1,1.043390274E1
7.962768810E-1,2.572284266E-2,1.008574724E0,9.594620705E0
7.983832550E-1,-3.589234129E-2,1.195813060E0,9.468399048E0
8.004921630E-1,-2.991028363E-3,1.329213023E0,9.041878700E0
8.025992390E-1,-1.310070455E-1,1.401595831E0,9.404989243E0
8.047076270E-1,-3.589234129E-2,1.204786181E0,9.363115311E0
8.068156090E-1,-1.118644550E-1,9.810572863E-1,9.915258408E0
8.089215050E-1,-8.614161611E-2,8.422735929E-1,1.043749237E1
8.110221210E-1,3.828516230E-2,7.890332937E-1,1.059063339E1
8.131416180E-1,3.535395563E-1,9.744769931E-1,1.003789139E1
8.152486420E-1,4.624129832E-1,9.882357717E-1,9.712467194E0
8.173596150E-1,2.177468538E-1,1.127617717E0,9.458827972E0
8.194656740E-1,1.022931710E-1,1.443470240E0,8.939585686E0
8.215732480E-1,-5.383851007E-2,1.559522152E0,9.379266739E0
8.236714140E-1,-2.626122832E-1,1.527219057E0,9.853643417E0
8.257899940E-1,-2.255235314E-1,1.148554921E0,9.942776680E0
