"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.079533167E0,5.141730811E-3,3.125029787E-2,-3.796714067E-2,4.944211043E-2
2.089584167E0,3.330912078E-3,2.448426080E-2,-3.018332720E-2,3.900778439E-2
2.099635167E0,-1.385031799E-3,2.984312888E-2,-3.527157426E-2,4.622352870E-2
2.109685167E0,-1.500879759E-3,2.175505463E-2,-3.272862017E-2,3.932807674E-2
2.119736167E0,-3.206174523E-3,2.111159595E-2,-3.976457477E-2,4.513535693E-2
2.129786167E0,-1.136168819E-2,2.352048206E-2,-3.617321491E-2,4.461841001E-2
2.139837167E0,-3.346352382E-3,2.202448793E-2,-3.318060994E-2,3.996534773E-2
2.149887167E0,-1.721592964E-2,2.617413810E-2,-4.485574543E-2,5.471299331E-2
2.159938167E0,-1.527222379E-2,3.187020552E-2,-2.928811848E-2,4.589928870E-2
2.169988167E0,-1.859809265E-2,2.117496515E-2,-2.299943805E-2,3.637639825E-2
2.180039167E0,-1.296652048E-2,2.705034794E-2,-4.200873613E-2,5.161962697E-2
2.190089167E0,-1.648868219E-2,1.741715380E-2,-2.823620439E-2,3.704749823E-2
2.200140167E0,-9.875910692E-3,2.431388756E-2,-3.542126298E-2,4.408360933E-2
2.210190167E0,5.243399274E-4,2.165769392E-2,-1.641138017E-2,2.717837444E-2
2.220241167E0,-1.728034951E-3,2.319384426E-2,-4.260690629E-2,4.854162112E-2
2.230291167E0,1.403761161E-2,2.599289726E-2,-3.137966752E-2,4.309720155E-2
2.240342167E0,7.218469949E-3,2.518994664E-2,-3.257834673E-2,4.180895115E-2
2.250393167E0,8.176983912E-3,2.738740338E-2,-3.736721635E-2,4.704510375E-2
2.260443167E0,-1.879642289E-3,2.997919085E-2,-2.568974197E-2,3.952528028E-2
2.270494167E0,8.108023312E-3,2.995920525E-2,-4.335125685E-2,5.331627792E-2
2.280544167E0,-7.291560145E-3,2.276930900E-2,-3.736370802E-2,4.435825694E-2
2.290595167E0,-3.398593599E-3,1.916125260E-2,-1.925137281E-2,2.737369896E-2
2.300645167E0,-7.387162121E-3,2.354133789E-2,-3.467048049E-2,4.255357766E-2
2.310696167E0,-9.087313162E-3,2.428211616E-2,-3.586857498E-2,4.425782526E-2
2.320746167E0,-8.840259165E-4,1.713190104E-2,-1.880289137E-2,2.545254916E-2
2.330797167E0,-9.920331258E-3,2.747613259E-2,-3.572064042E-2,4.614450115E-2
2.340847167E0,-2.047279221E-2,1.979469335E-2,-3.243099689E-2,4.315940993E-2
2.350898167E0,-2.034159531E-2,3.003609385E-2,-4.680345297E-2,5.921579724E-2
2.360948167E0,-1.761258099E-2,2.937837802E-2,-3.737715662E-2,5.069855956E-2
2.370999167E0,-6.461027116E-3,3.375423093E-2,-3.094346523E-2,4.624490262E-2
2.381049167E0,-7.997364756E-3,2.877909552E-2,-2.301230192E-2,3.770623585E-2
2.391100167E0,-1.263956062E-2,3.051644947E-2,-3.049907684E-2,4.495782323E-2
2.401150167E0,1.957857935E-3,2.326100045E-2,-4.187249601E-2,4.793968368E-2
2.411201167E0,2.767715575E-3,1.803924158E-2,-4.785946012E-2,5.122111292E-2
2.421252167E0,5.379712489E-4,1.788007398E-2,-2.346253753E-2,2.950384934E-2
2.431302167E0,-1.282906523E-3,1.778642602E-2,-1.613246799E-2,2.404702316E-2
2.441353167E0,-4.382478995E-3,2.625364653E-2,-2.766025364E-2,3.838684293E-2
2.451403167E0,2.445506584E-3,2.269800494E-2,-3.663806856E-2,4.316859968E-2
2.461454167E0,-3.901664279E-3,2.138160027E-2,-2.825433075E-2,3.564692162E-2
2.471504167E0,-4.568402180E-3,2.965110952E-2,-2.960035980E-2,4.214546113E-2
2.481555167E0,3.180428501E-4,2.818762910E-2,-4.651460052E-2,5.438981197E-2
2.491605167E0,7.088972395E-3,2.840976619E-2,-2.615050256E-2,3.925833834E-2
2.501656167E0,1.671283155E-2,2.848979539E-2,-3.138259113E-2,4.556154305E-2
2.511706167E0,1.639115977E-1,5.815561202E-2,-4.036332965E-2,1.785449116E-1
2.521757167E0,1.464756611E0,1.985114000E-1,2.310644209E-2,1.478327640E0
2.531807167E0,5.812470766E-1,-7.437583849E-2,-5.038721144E-2,5.881486211E-1
2.541858167E0,-4.614245448E-1,-5.538851772E-2,-1.983258605E-2,4.651600046E-1
2.551908167E0,-4.198704296E-1,-3.608874777E-2,1.270073712E-2,4.216098719E-1
2.561959167E0,1.129105657E-1,1.871474802E-2,2.057635188E-2,1.162859574E-1
2.572010167E0,1.096575494E-1,3.338664207E-3,2.012857211E-1,2.292419384E-1
2.582060167E0,-1.181777741E-1,-6.306445006E-2,6.946363556E-1,7.074339388E-1
2.592111167E0,-1.086169369E-1,6.644638823E-2,7.322111481E-1,7.431997894E-1
2.602161167E0,6.709138180E-2,1.526476402E-1,2.510624832E-1,3.013883310E-1
2.612212167E0,-6.972721525E-2,4.311750527E-2,-2.870573580E-1,2.985346389E-1
2.622262167E0,-2.382887655E-1,6.276625120E-2,-5.707233310E-2,2.529394972E-1
2.632313167E0,-5.309888328E-1,1.534646150E-1,5.862710774E-2,5.558216138E-1
2.642363167E0,-1.178911052E-1,6.013148669E-2,3.004638541E-1,3.283178886E-1
2.652414167E0,-9.231453423E-2,-1.022957588E-1,4.967905515E-1,5.155455825E-1
2.662464167E0,-6.076339529E-1,-6.574666290E-1,7.611788392E-1,1.175106214E0
2.672515167E0,-9.429517804E-2,-1.278417689E-1,7.664957124E-1,7.827839904E-1
2.682565167E0,-1.788918170E-1,-1.762990337E-2,3.806847292E-1,4.209916374E-1
2.692616167E0,-4.405558321E-1,5.242175013E-2,3.590038383E-1,5.707199287E-1
2.702666167E0,-3.676024613E-1,4.059128335E-1,6.812456471E-1,8.740666048E-1
2.712717167E0,-9.830650502E-2,2.976461905E-1,8.629847109E-1,9.181503335E-1
2.722767167E0,-1.350950937E-1,8.935320273E-2,6.178577363E-1,6.387353611E-1
2.732818167E0,-1.488632583E-1,-3.635892979E-1,1.329025340E0,1.385880876E0
2.742869167E0,-1.900168209E-1,-3.900918759E-1,1.286219044E0,1.357437841E0
2.752919167E0,-6.266863011E-1,-7.636981121E-1,1.397061787E0,1.711067551E0
2.762970167E0,-9.819851974E-1,-6.801133338E-1,2.026571855E0,2.352412072E0
2.773020167E0,-7.965376832E-1,-3.644439781E-1,3.152853178E0,3.272273653E0
2.783071167E0,-2.406989513E-1,-9.709299764E-2,4.505926947E0,4.513395694E0
2.793121167E0,3.296689421E-2,1.436612646E-1,5.117313570E0,5.119435862E0
2.803172167E0,1.990259184E-1,4.012154728E-2,5.064810251E0,5.068877976E0
2.813222167E0,2.136426419E-1,2.286484428E-1,5.116655758E0,5.126215898E0
2.823273167E0,1.971216264E-1,8.765983446E-1,5.426065852E0,5.499952020E0
2.833323167E0,5.136895895E-2,1.181162266E0,5.688040409E0,5.809611585E0
2.843374167E0,-2.879915238E-1,1.083002864E0,5.591666016E0,5.702855702E0
2.853424167E0,-4.924927019E-1,1.088185398E0,5.376884921E0,5.507956788E0
2.863475167E0,-5.889194275E-1,1.203120754E0,5.674401194E0,5.830364873E0
2.873525167E0,-8.244810151E-1,1.145953038E0,5.920964829E0,6.086936982E0
2.883576167E0,-8.689916287E-1,1.074564967E0,5.857264093E0,6.018087650E0
2.893626167E0,-6.231046622E-1,7.544472322E-1,5.884990420E0,5.965782621E0
2.903676417E0,-3.686303287E-1,4.086789685E-1,6.171912707E0,6.196403254E0
2.913726417E0,-2.829969784E-1,3.010942936E-1,6.454520334E0,6.467733591E0
2.923777417E0,-2.480960445E-1,3.156646048E-1,6.551299354E0,6.563590406E0
2.933828417E0,-3.176048937E-1,9.885218728E-2,6.379139784E0,6.387806275E0
2.943878417E0,-1.870019965E-1,-9.699584249E-2,6.280908900E0,6.284440671E0
2.953929417E0,-1.488166816E-1,-2.845882250E-1,6.363475093E0,6.371573756E0
2.963979417E0,-6.035364434E-2,9.633627657E-2,6.472815102E0,6.473813296E0
2.974030417E0,-5.559708059E-2,2.553719542E-1,6.094924173E0,6.100525104E0
