"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.186796375E0,-3.345827959E-1,7.017166029E-1,-2.479862630E-2,7.777961237E-1
2.196846375E0,-2.815466496E-1,8.257744923E-1,-2.206797659E-2,8.727307853E-1
2.206896375E0,-8.195380714E-2,7.005986153E-1,-3.297537267E-2,7.061460341E-1
2.216946375E0,-7.935084600E-2,5.962023539E-1,-3.894654930E-2,6.027193686E-1
2.226996375E0,-2.241369687E-1,3.612105775E-1,-6.243539929E-2,4.296610770E-1
2.237046375E0,-1.971568742E-1,1.289450288E-1,-7.708793700E-2,2.478713447E-1
2.247096375E0,-2.449734669E-1,-4.720508359E-1,-1.331352532E-2,5.319974071E-1
2.257146375E0,-2.164561759E-1,-1.444919493E0,-3.713098884E-2,1.461514395E0
2.267196375E0,7.333384182E-2,-1.851553288E0,1.086529613E-2,1.853036828E0
2.277247375E0,2.553367613E-1,-1.557061488E0,6.306222081E-3,1.577871068E0
2.287297375E0,9.759739308E-2,-1.405806444E0,-4.808808625E-2,1.410010452E0
2.297347375E0,-1.372816783E-1,-1.611378467E0,-6.372880340E-3,1.617228319E0
2.307397375E0,-1.042635296E-1,-1.794439440E0,-5.073219717E-2,1.798181733E0
2.317447375E0,-6.015290212E-2,-2.053685248E0,-8.850930333E-3,2.054585069E0
2.327497375E0,1.691382045E-2,-2.284686811E0,-2.804675460E-2,2.284921557E0
2.337547375E0,6.413277291E-2,-2.125491102E0,-2.388879955E-2,2.126592607E0
2.347597375E0,2.524495158E-2,-2.177108860E0,-2.393382311E-2,2.177386765E0
2.357647375E0,7.144371109E-2,-2.291867923E0,7.740544081E-3,2.292994264E0
2.367698375E0,2.384810658E-1,-1.986158532E0,-3.573233485E-2,2.000743794E0
2.377748375E0,2.716670844E-1,-1.522991224E0,-3.456932366E-2,1.547417304E0
2.387798375E0,1.504436876E-1,-1.253730013E0,-3.367996216E-2,1.263173222E0
2.397848375E0,-9.416301269E-2,-1.127432129E0,-1.218349242E-1,1.137898777E0
2.407898375E0,-8.742486410E-2,-1.465765694E0,-5.266470194E-2,1.469314720E0
2.417948375E0,6.853881435E-2,-1.884500010E0,-1.762993991E-2,1.885828378E0
2.427998375E0,1.890952997E-3,-1.702862103E0,-1.911103964E-2,1.702970390E0
2.438048375E0,-1.148813057E-1,-1.683198063E0,-1.999221504E-2,1.687232385E0
2.448098375E0,-1.729124726E-1,-2.022551602E0,-1.953086972E-2,2.030023438E0
2.458149375E0,-3.075193238E-2,-1.949584636E0,-5.902179480E-3,1.949836088E0
2.468199375E0,2.374426369E-2,-1.529137817E0,1.025718570E-2,1.529356552E0
2.478249375E0,-9.997523641E-2,-1.420662319E0,1.128512621E-2,1.424220428E0
2.488299375E0,-2.346646247E-1,-1.568702125E0,1.106088549E-1,1.590008856E0
2.498349375E0,-2.388912480E-1,-1.535124197E0,8.102135897E-2,1.555711988E0
2.508399375E0,-1.909744121E-1,-1.394890716E0,2.611541927E-2,1.408145359E0
2.518449375E0,-5.036855517E-2,-1.403009136E0,1.058346033E-4,1.403912974E0
2.528499375E0,-4.561906289E-2,-1.720391617E0,-8.201538563E-2,1.722949488E0
2.538550375E0,-7.643642927E-2,-1.870406466E0,-1.070847380E-1,1.875028004E0
2.548600375E0,-3.902076325E-2,-1.774163343E0,-1.933089495E-3,1.774593453E0
2.558650375E0,7.631123490E-2,-1.288344068E0,1.150141472E-1,1.295716827E0
2.568700375E0,-8.098576404E-4,-6.895881620E-1,1.132313311E-1,6.988231703E-1
2.578750375E0,-9.313538281E-2,-5.143483514E-1,1.039564776E-1,5.329496931E-1
2.588800375E0,-1.245905891E-1,-7.897479694E-1,-1.132015103E-1,8.074894749E-1
