"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.167906450E-1,2.290744567E-3,-1.069014147E-2,-1.853975952E-1
4.189009360E-1,3.359758761E-3,-1.069014147E-2,-1.866193265E-1
4.210090400E-1,3.359758761E-3,-9.468411095E-3,-1.890627891E-1
4.231148540E-1,2.138028387E-3,-1.069014147E-2,-1.939497143E-1
4.252241780E-1,9.162978968E-4,-1.298088674E-2,-1.988366395E-1
4.273312840E-1,9.162978968E-4,-1.298088674E-2,-2.025018334E-1
4.294411380E-1,9.162978968E-4,-1.542434748E-2,-2.049452960E-1
4.315538200E-1,2.138028387E-3,-1.786780916E-2,-2.061670274E-1
4.336560330E-1,2.138028387E-3,-1.664607786E-2,-2.073887438E-1
4.357644210E-1,2.138028387E-3,-1.175915636E-2,-2.086104751E-1
4.378710290E-1,9.162978968E-4,-1.420261711E-2,-2.073887438E-1
4.399810860E-1,-1.527163084E-3,-1.786780916E-2,-2.086104751E-1
4.420899730E-1,-2.748893574E-3,-2.504547499E-2,-2.049452960E-1
4.441946880E-1,-3.054326226E-4,-2.504547499E-2,-2.000583708E-1
4.462952750E-1,-3.054326226E-4,-1.786780916E-2,-1.939497143E-1
4.484135200E-1,-3.054326226E-4,-1.053742506E-2,-1.915062517E-1
4.505219600E-1,1.069014193E-3,-4.581489135E-3,-1.878410578E-1
4.526327690E-1,-1.527163113E-4,-1.420261711E-2,-1.829541475E-1
4.547361110E-1,-3.817907767E-3,-2.031126991E-2,-1.756237596E-1
4.568374100E-1,-5.039638374E-3,-1.542434748E-2,-1.670716405E-1
4.589561340E-1,-9.773843922E-3,-1.908953860E-2,-1.585195363E-1
4.610634340E-1,-1.099557430E-2,-2.504547499E-2,-1.511891484E-1
4.631748830E-1,-8.552113548E-3,-2.031126991E-2,-1.389718503E-1
4.652793950E-1,-2.443460980E-3,-1.542434748E-2,-1.291979998E-1
4.673879260E-1,2.596177394E-3,-1.557706390E-2,-1.207986027E-1
4.694934970E-1,6.108652335E-3,-2.046398632E-2,-1.146899462E-1
4.715939610E-1,5.039638374E-3,-2.168571576E-2,-1.085812971E-1
4.737113830E-1,-1.069014193E-3,-2.031126991E-2,-1.012509167E-1
4.758207170E-1,-8.399397135E-3,-2.397646010E-2,-1.000291854E-1
4.779318410E-1,-1.084285788E-2,-2.748893574E-2,-9.392052889E-2
4.800378090E-1,-3.359758761E-3,-2.641992271E-2,-8.536841720E-2
4.821456490E-1,2.748893574E-3,-2.412917651E-2,-7.925976813E-2
4.842539350E-1,5.192354787E-3,-2.535090782E-2,-7.803803682E-2
4.863622210E-1,3.970623948E-3,-2.290744707E-2,-7.437284291E-2
4.884711390E-1,2.748893574E-3,-1.313360315E-2,-6.582073122E-2
4.905813690E-1,-1.985311974E-3,-3.512475174E-3,-5.726861581E-2
4.926878850E-1,-9.315694682E-3,-1.313360315E-2,-4.871650413E-2
4.947952650E-1,-9.162978269E-3,-1.802052557E-2,-4.016438872E-2
