"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.551161625E0,-6.733281072E-3,-8.149811998E-3,-1.367774755E-1
3.561211625E0,-1.572170481E-2,1.019612793E-2,-1.779704541E-1
3.571261625E0,-1.829378679E-2,3.892683983E-2,-9.626652300E-2
3.581310625E0,-1.397962961E-2,6.643785536E-2,-3.319866955E-2
3.591360625E0,-2.028759196E-2,4.942398518E-2,-1.388041973E-1
3.601410625E0,9.909122437E-2,2.476403266E-1,-4.343778789E-1
3.611459625E0,-2.649705671E-2,7.342165709E-2,-7.519837618E-1
3.621509625E0,4.196885973E-2,4.432308301E-2,-1.054172516E0
3.631559625E0,-7.814183831E-2,1.283703148E-1,-1.201627731E0
3.641608625E0,-1.461800039E-1,3.334905505E-1,-1.239619613E0
3.651658625E0,-1.221495047E-1,3.605858386E-1,-1.035534143E0
3.661708625E0,-1.679261215E-2,1.092171073E-1,-8.426352143E-1
3.671757625E0,-8.384129032E-4,5.196500570E-2,-9.706618786E-1
3.681807625E0,1.037467830E-2,5.522716790E-2,-1.120188475E0
3.691857625E0,2.260710858E-2,4.645658284E-2,-1.459768653E0
3.701906625E0,2.346898243E-2,2.238832787E-2,-1.558118343E0
3.711956625E0,2.731751837E-2,2.810640074E-2,-1.542798996E0
3.722006625E0,2.544406243E-2,7.060608827E-3,-1.278135300E0
3.732055750E0,2.243096009E-2,-6.625109818E-3,-1.415409803E0
3.742105750E0,1.089623477E-2,-1.732161455E-2,-1.028571367E0
3.752155750E0,5.577636883E-3,-7.303068414E-3,-5.523743033E-1
3.762205750E0,2.833520062E-3,-2.663225681E-2,-6.804896593E-1
3.772254750E0,1.297989674E-2,5.282531958E-3,-7.862643003E-1
